49		
0.1	0	0.4
0.1	0	0.3502
0.1	-0.0498	0.4
0.1	0	0.4498
0.1	0.0498	0.4
0.1	0	0.351
0.1	-0.049	0.4
0.1	0	0.449
0.1	0.049	0.4
0.1	0	0.352
0.1	-0.048	0.4
0.1	0	0.448
0.1	0.048	0.4
0.1	0	0.353
0.1	-0.047	0.4
0.1	0	0.447
0.1	0.047	0.4
0.1	0	0.356
0.1	-0.044	0.4
0.1	0	0.444
0.1	0.044	0.4
0.1	0	0.36
0.1	-0.04	0.4
0.1	0	0.44
0.1	0.04	0.4
0.1	0	0.37
0.1	-0.03	0.4
0.1	0	0.43
0.1	0.03	0.4
0.1	0	0.38
0.1	-0.02	0.4
0.1	0	0.42
0.1	0.02	0.4
0.1	0	0.39
0.1	-0.01	0.4
0.1	0	0.41
0.1	0.01	0.4
0.1	-0.02	0.37
0.1	0.02	0.37
0.1	-0.04	0.39
0.1	-0.02	0.39
0.1	0.02	0.39
0.1	0.04	0.39
0.1	-0.04	0.41
0.1	-0.02	0.41
0.1	0.02	0.41
0.1	0.04	0.41
0.1	-0.02	0.43
0.1	0.02	0.43
